index,e,n,u
438,687.427102,-647.299893,0.0
439,687.749124,-646.917591,0.0
440,688.071146,-646.535289,0.0
441,688.393167,-646.152988,0.0
442,688.714966,-645.770487,0.0
443,689.036765,-645.387986,0.0
444,689.358563,-645.005485,0.0
445,689.680362,-644.622985,0.0
446,690.002573,-644.240785,0.0
447,690.324783,-643.858584,0.0
448,690.646993,-643.476384,0.0
449,690.969250,-643.094218,0.0
450,691.291507,-642.712053,0.0
451,691.613764,-642.329887,0.0
452,691.934433,-641.946312,0.0
453,692.255101,-641.562737,0.0
454,692.575769,-641.179162,0.0
455,692.896438,-640.795588,0.0
456,693.217106,-640.412013,0.0
457,693.537775,-640.028438,0.0
458,693.858343,-639.644776,0.0
459,694.178911,-639.261114,0.0
460,694.499480,-638.877452,0.0
461,694.820048,-638.493790,0.0
462,695.140617,-638.110128,0.0
463,695.461185,-637.726465,0.0
464,695.781747,-637.342798,0.0
465,696.102310,-636.959131,0.0
466,696.422872,-636.575464,0.0
467,696.743435,-636.191797,0.0
468,697.063997,-635.808130,0.0
469,697.384560,-635.424462,0.0
470,697.705122,-635.040795,0.0
471,698.025684,-634.657127,0.0
472,698.346246,-634.273460,0.0
473,698.666808,-633.889792,0.0
474,698.987371,-633.506125,0.0
475,699.307933,-633.122457,0.0
476,699.628495,-632.738790,0.0
477,699.949057,-632.355122,0.0
478,700.269619,-631.971455,0.0
479,700.590181,-631.587787,0.0
480,700.910743,-631.204120,0.0
481,701.231305,-630.820452,0.0
482,701.551868,-630.436785,0.0
483,701.872430,-630.053117,0.0
484,702.192992,-629.669450,0.0
485,702.513555,-629.285783,0.0
486,702.834117,-628.902115,0.0
487,703.154679,-628.518448,0.0
488,703.475288,-628.134821,0.0
489,703.795896,-627.751193,0.0
490,704.116505,-627.367566,0.0
491,704.437113,-626.983939,0.0
492,704.757722,-626.600312,0.0
493,705.045890,-626.255501,0.0
494,705.045890,-626.255501,0.0
495,705.365021,-625.870600,0.0
496,705.684152,-625.485698,0.0
497,706.003283,-625.100797,0.0
498,706.322414,-624.715895,0.0
499,706.641544,-624.330994,0.0
500,706.960675,-623.946093,0.0
501,707.279806,-623.561191,0.0
502,707.598937,-623.176290,0.0
503,707.918068,-622.791388,0.0
504,708.237199,-622.406487,0.0
505,708.556329,-622.021586,0.0
506,708.875460,-621.636684,0.0
507,709.194591,-621.251783,0.0
508,709.513722,-620.866881,0.0
509,709.832853,-620.481980,0.0
510,710.151984,-620.097078,0.0
511,710.471114,-619.712177,0.0
512,710.790245,-619.327276,0.0
513,711.109376,-618.942374,0.0
514,711.428507,-618.557473,0.0
515,711.747638,-618.172571,0.0
516,712.066769,-617.787670,0.0
517,712.385899,-617.402769,0.0
518,712.705030,-617.017867,0.0
519,713.044140,-616.650489,0.0
520,713.383250,-616.283111,0.0
521,713.722361,-615.915733,0.0
522,714.061471,-615.548355,0.0
523,714.400581,-615.180977,0.0
524,714.739691,-614.813599,0.0
525,715.080994,-614.448265,0.0
526,715.422296,-614.082930,0.0
527,715.763599,-613.717595,0.0
528,716.104902,-613.352261,0.0
529,716.446205,-612.986926,0.0
530,716.787507,-612.621591,0.0
531,717.206278,-612.348973,0.0
532,717.625048,-612.076354,0.0
533,718.043818,-611.803736,0.0
534,718.462589,-611.531117,0.0
535,718.881359,-611.258499,0.0
536,719.300129,-610.985880,0.0
537,719.757113,-610.782988,0.0
538,720.214097,-610.580096,0.0
539,720.671080,-610.377204,0.0
540,721.128064,-610.174312,0.0
541,721.585048,-609.971420,0.0
542,722.068315,-609.843274,0.0
543,722.551582,-609.715127,0.0
544,723.034848,-609.586981,0.0
545,723.518115,-609.458835,0.0
546,724.001382,-609.330689,0.0
547,724.484649,-609.202542,0.0
548,724.984206,-609.182793,0.0
549,725.483764,-609.163043,0.0
550,725.983321,-609.143293,0.0
551,726.483231,-609.141388,0.0
552,726.983140,-609.139484,0.0
553,727.483050,-609.137579,0.0
554,727.982960,-609.135674,0.0
555,728.460426,-609.282810,0.0
556,728.937892,-609.429946,0.0
557,729.415359,-609.577083,0.0
558,729.892825,-609.724219,0.0
559,730.370291,-609.871355,0.0
560,730.798535,-610.129184,0.0
561,731.226778,-610.387014,0.0
562,731.655022,-610.644843,0.0
563,732.083266,-610.902672,0.0
564,732.504954,-611.170936,0.0
565,732.926643,-611.439201,0.0
566,733.348331,-611.707466,0.0
567,733.770020,-611.975730,0.0
568,734.164915,-612.282403,0.0
569,734.559810,-612.589076,0.0
570,734.954705,-612.895749,0.0
571,735.349601,-613.202422,0.0
572,735.744496,-613.509095,0.0
573,736.139391,-613.815768,0.0
574,736.531234,-614.126341,0.0
575,736.923077,-614.436915,0.0
576,737.314920,-614.747488,0.0
577,737.706762,-615.058061,0.0
578,738.098605,-615.368635,0.0
579,738.490448,-615.679208,0.0
580,738.881987,-615.990166,0.0
581,739.273525,-616.301123,0.0
582,739.665064,-616.612081,0.0
583,740.056602,-616.923039,0.0
584,740.448140,-617.233996,0.0
585,740.839679,-617.544954,0.0
586,741.231189,-617.855947,0.0
587,741.622700,-618.166940,0.0
588,742.014210,-618.477933,0.0
589,742.405721,-618.788926,0.0
590,742.797231,-619.099919,0.0
591,743.188741,-619.410912,0.0
592,743.387888,-619.569103,0.0
593,743.387888,-619.569103,0.0
594,743.782867,-619.875402,0.0
595,744.177846,-620.181700,0.0
596,744.572825,-620.487999,0.0
597,744.967804,-620.794298,0.0
598,745.362783,-621.100597,0.0
599,745.757762,-621.406895,0.0
600,746.152159,-621.714220,0.0
601,746.546556,-622.021544,0.0
602,746.940953,-622.328868,0.0
603,747.335350,-622.636192,0.0
604,747.729747,-622.943517,0.0
605,748.124144,-623.250841,0.0
606,748.518514,-623.558202,0.0
607,748.912884,-623.865562,0.0
608,749.307253,-624.172923,0.0
609,749.702274,-624.479433,0.0
610,750.097295,-624.785943,0.0
611,750.492316,-625.092453,0.0
612,750.887337,-625.398963,0.0
613,751.282358,-625.705473,0.0
614,751.677379,-626.011983,0.0
615,752.072469,-626.318402,0.0
616,752.467559,-626.624821,0.0
617,752.862649,-626.931240,0.0
618,753.257739,-627.237659,0.0
619,753.652828,-627.544078,0.0
620,754.047918,-627.850498,0.0
621,754.443015,-628.156908,0.0
622,754.838112,-628.463317,0.0
623,755.233209,-628.769727,0.0
624,755.628306,-629.076137,0.0
625,756.023402,-629.382547,0.0
626,756.418499,-629.688957,0.0
627,756.813597,-629.995366,0.0
628,757.208694,-630.301775,0.0
629,757.603792,-630.608184,0.0
630,757.998889,-630.914593,0.0
631,758.393987,-631.221002,0.0
632,758.789084,-631.527411,0.0
633,759.183746,-631.834398,0.0
634,759.578407,-632.141386,0.0
635,759.973069,-632.448374,0.0
636,760.370313,-632.752004,0.0
637,760.767557,-633.055635,0.0
638,761.164802,-633.359265,0.0
639,761.562046,-633.662895,0.0
640,761.959860,-633.965776,0.0
641,762.357675,-634.268657,0.0
642,762.755489,-634.571538,0.0
643,763.153303,-634.874419,0.0
644,763.286606,-634.975911,0.0
645,763.286606,-634.975911,0.0
646,763.680209,-635.284150,0.0
647,764.073811,-635.592389,0.0
648,764.467414,-635.900629,0.0
649,764.861017,-636.208868,0.0
650,765.254619,-636.517107,0.0
651,765.648222,-636.825346,0.0
652,766.041825,-637.133585,0.0
653,766.435428,-637.441824,0.0
654,766.829030,-637.750063,0.0
655,767.222633,-638.058302,0.0
656,767.616236,-638.366541,0.0
657,768.009839,-638.674780,0.0
658,768.403442,-638.983019,0.0
659,768.798261,-639.289781,0.0
660,769.193081,-639.596544,0.0
661,769.587900,-639.903307,0.0
662,769.982719,-640.210069,0.0
663,770.377539,-640.516832,0.0
664,770.772358,-640.823594,0.0
665,771.166851,-641.130774,0.0
666,771.561343,-641.437955,0.0
667,771.955835,-641.745135,0.0
668,772.350327,-642.052315,0.0
669,772.744820,-642.359495,0.0
670,773.139312,-642.666675,0.0
671,773.533795,-642.973866,0.0
672,773.928279,-643.281058,0.0
673,774.322762,-643.588249,0.0
674,774.717246,-643.895440,0.0
675,775.111729,-644.202632,0.0
676,775.506213,-644.509823,0.0
677,775.900696,-644.817014,0.0
678,776.295179,-645.124206,0.0
679,776.689663,-645.431397,0.0
680,777.084146,-645.738589,0.0
681,777.478629,-646.045780,0.0
682,777.873113,-646.352972,0.0
683,778.267596,-646.660163,0.0
684,778.662079,-646.967355,0.0
685,779.056562,-647.274547,0.0
686,779.451046,-647.581738,0.0
687,779.845529,-647.888930,0.0
688,780.240012,-648.196121,0.0
689,780.634496,-648.503313,0.0
690,781.028979,-648.810504,0.0
691,781.423462,-649.117696,0.0
692,781.817945,-649.424888,0.0
693,782.212428,-649.732079,0.0
694,782.606912,-650.039271,0.0
695,783.001395,-650.346462,0.0
696,783.395878,-650.653654,0.0
697,783.790362,-650.960845,0.0
698,784.184845,-651.268037,0.0
699,784.579328,-651.575228,0.0
700,784.973812,-651.882420,0.0
701,785.368295,-652.189611,0.0
702,785.762778,-652.496803,0.0
703,786.157261,-652.803995,0.0
704,786.551745,-653.111186,0.0
705,786.946228,-653.418378,0.0
706,787.340711,-653.725569,0.0
707,787.735194,-654.032761,0.0
708,788.129678,-654.339952,0.0
709,788.524161,-654.647144,0.0
710,788.918645,-654.954335,0.0
